frame,zone,player id,x,y,birdX,birdY,time,objtype,team,possession
18,3,12,1086,1257,177.648178100586,309.387298583984,0.750749999999999,1,1,0
18,3,13,1311,1212,206.842834472656,288.824493408203,0.750749999999999,1,2,0
18,3,14,1483,1039,218.557144165039,184.512451171875,0.750749999999999,1,2,0
18,4,15,1190,1115,174.44856262207,236.044494628906,0.750749999999999,1,1,0
18,4,16,957,1059,121.148979187012,199.348724365234,0.750749999999999,1,2,0
18,4,17,753,1133,102.453666687012,246.71533203125,0.750749999999999,1,2,0
18,4,18,896,1146,129.514236450195,254.176788330078,0.750749999999999,1,1,0
18,4,19,1042,1107,146.960006713867,231.115142822266,0.750749999999999,1,2,0
18,4,20,1131,1035,149.089218139648,181.733474731445,0.750749999999999,1,1,0
18,4,21,828,1134,115.449089050293,247.307495117188,0.750749999999999,1,1,0
18,0,28,572,1176,83.0545501708984,270.341827392578,0.750749999999999,1,0,0
19,3,12,1083,1248,176.033874511719,305.407562255859,0.792458333333333,1,1,0
19,3,13,1330,1207,209.332138061523,286.400024414063,0.792458333333333,1,2,0
19,3,14,1479,1033,217.099014282227,179.971099853516,0.792458333333333,1,2,0
19,4,16,963,1059,122.277000427246,199.346115112305,0.792458333333333,1,2,0
19,4,17,751,1141,104.018531799316,251.313247680664,0.792458333333333,1,2,0
19,0,25,824,908,44.2978706359863,65.6197052001953,0.792458333333333,37,-1,-1
20,3,12,1083,1248,176.033874511719,305.407562255859,0.834028,1,1,0
20,3,13,1330,1207,209.332138061523,286.400024414063,0.834028,1,2,0
20,3,14,1479,1033,217.099014282227,179.971099853516,0.834028,1,2,0
20,4,15,1202,1109,175.63493347168,232.354202270508,0.834028,1,1,0
20,4,16,962,1061,122.564041137695,200.753143310547,0.834028,1,2,0
20,4,17,753,1151,106.681083679199,256.9365234375,0.834028,1,2,0
20,4,18,902,1142,129.708541870117,251.914474487305,0.834028,1,1,0
20,4,19,1030,1102,143.85791015625,227.986724853516,0.834028,1,2,0
20,4,20,1130,1030,147.842056274414,177.929321289063,0.834028,1,1,0
20,4,21,816,1134,113.406684875488,247.305511474609,0.834028,1,1,0
20,0,25,840,908,48.0585784912109,65.576416015625,0.834028,37,-1,-1
21,0,8,1456,1331,237.627975463867,339.758422851563,0.875829,1,0,0
21,3,12,1086,1250,176.745101928711,306.300384521484,0.875829,1,1,0
21,3,13,1353,1205,212.775543212891,285.430908203125,0.875829,1,2,0
21,3,14,1481,1033,217.494125366211,179.969680786133,0.875829,1,2,0
21,4,15,1204,1106,175.523651123047,230.487426757813,0.875829,1,1,0
21,4,17,749,1163,108.742134094238,263.505737304688,0.875829,1,2,0
21,4,18,903,1140,129.467849731445,250.774459838867,0.875829,1,1,0
21,0,25,853,908,51.1155853271484,65.5412216186523,0.875829,37,-1,-1
22,0,8,2448,1331,376.685516357422,340.764709472656,0.917583333333333,1,0,0
22,3,12,1087,1249,176.765029907227,305.856323242188,0.917583333333333,1,1,0
22,3,13,1355,1206,213.187835693359,285.923736572266,0.917583333333333,1,2,0
22,3,14,1476,1034,216.62043762207,180.735916137695,0.917583333333333,1,2,0
22,4,15,1209,1098,175.162734985352,225.437850952148,0.917583333333333,1,1,0
22,4,17,748,1165,109.025329589844,264.582214355469,0.917583333333333,1,2,0
22,4,18,899,1145,129.815002441406,253.613662719727,0.917583333333333,1,1,0
22,4,20,1114,1032,145.129501342773,179.469223022461,0.917583333333333,1,1,0
22,0,25,971,914,81.1445236206055,71.8642044067383,0.917583333333333,37,-1,-1
23,0,8,2448,1333,376.524536132813,341.521209716797,0.959291666666666,1,0,0
